produto,categoria,estoque_inicial,vendas_do_mes,custo_unitario,preco_venda
Porta de Madeira Comercial,Hidráulica,716,116,323.11,455.23
Rejunte Reforçada,Hidráulica,352,152,445.55,968.13
Lâmpada LED Residencial,Iluminação,691,155,270.02,436.43
Parafuso Comercial,Acabamento,388,163,142.26,189.5
Cimento Comum,Hidráulica,603,81,440.64,795.2
Telha de Zinco Refinada,Hidráulica,675,5,273.03,549.61
Telha Cerâmica Refinada,Acabamento,662,321,453.54,527.36
Telha Cerâmica Industrial,Acabamento,835,66,24.88,37.53
Bloco de Concreto Premium,Hidráulica,155,237,201.77,450.59
Bloco de Concreto Industrial,Acabamento,332,71,474.16,866.93
Telha Cerâmica Extra,Hidráulica,131,94,128.58,147.81
Areia Industrial,Hidráulica,261,303,471.06,704.11
Lâmpada LED Comercial,Iluminação,864,466,477.18,951.88
Parafuso Comum,Estrutura,908,497,441.66,609.09
Tinta Acrílica Comercial,Hidráulica,320,325,284.02,641.42
Parafuso Residencial,Elétrica,610,77,325.24,665.83
Parafuso Reforçada,Estrutura,484,66,435.46,766.38
Brita Refinada,Estrutura,579,175,389.07,926.72
Janela de Alumínio Extra,Estrutura,501,320,316.9,522.42
Fio Elétrico Residencial,Iluminação,584,171,491.22,702.0
Fio Elétrico Refinada,Hidráulica,356,477,344.41,697.76
Brita Residencial,Iluminação,829,254,487.86,928.21
Canos PVC Comercial,Hidráulica,496,62,33.41,52.43
Porta de Madeira Premium,Iluminação,482,301,73.79,116.67
Tomada Refinada,Iluminação,391,402,228.47,378.69
Tinta Acrílica Refinada,Elétrica,289,245,195.52,294.76
Interruptor Comum,Iluminação,81,191,392.45,821.92
Canos PVC Extra,Acabamento,530,466,84.5,170.01
Telha Cerâmica Comum,Elétrica,375,328,488.17,838.23
Canos PVC Premium,Iluminação,942,70,160.96,266.71
Janela de Alumínio Refinada,Estrutura,103,365,217.32,350.12
Telha Cerâmica Residencial,Acabamento,382,228,141.0,211.06
Argamassa Extra,Acabamento,348,433,291.78,355.96
Cimento Reforçada,Acabamento,446,62,34.02,50.2
Madeira Serrada Refinada,Elétrica,345,296,79.09,122.56
Madeira Serrada Comercial,Iluminação,673,244,374.17,698.48
Fio Elétrico Premium,Iluminação,501,6,97.32,212.48
Telha de Zinco Comercial,Estrutura,926,392,121.58,201.09
Areia Reforçada,Estrutura,877,259,397.53,963.08
Tomada Comercial,Acabamento,49,88,51.18,115.58
Tijolo Refinada,Estrutura,368,176,221.55,549.16
Madeira Serrada Residencial,Elétrica,583,203,16.42,38.2
Areia Residencial,Iluminação,263,133,176.67,346.88
Tijolo Comum,Acabamento,975,81,351.0,680.19
Rejunte Comum,Estrutura,590,487,49.6,63.55
Parafuso Industrial,Elétrica,407,20,444.73,938.98
Tomada Comum,Elétrica,766,398,455.2,883.22
Janela de Alumínio Reforçada,Estrutura,886,127,56.97,103.1
Tinta Acrílica Premium,Iluminação,179,194,495.41,1025.8
Porta de Madeira Extra,Estrutura,699,193,152.28,262.18
Brita Comum,Acabamento,710,183,46.63,85.49
Argamassa Refinada,Estrutura,520,246,7.51,12.45
Telha de Zinco Premium,Elétrica,269,360,207.22,436.06
Parafuso Premium,Estrutura,593,359,316.76,737.18
Telha de Zinco Residencial,Iluminação,993,323,169.43,385.82
Telha Cerâmica Comercial,Hidráulica,468,159,419.18,922.38
Interruptor Refinada,Estrutura,538,193,359.72,402.64
Madeira Serrada Comum,Iluminação,891,109,178.33,423.82
Prego Comercial,Iluminação,350,412,368.48,547.13
Areia Comercial,Elétrica,66,65,470.54,1102.55
Fio Elétrico Extra,Iluminação,227,417,51.08,70.27
Parafuso Refinada,Iluminação,628,253,156.52,268.51
Tomada Premium,Iluminação,825,282,234.35,503.66
Tomada Reforçada,Iluminação,949,59,251.51,502.11
Lâmpada LED Premium,Acabamento,694,117,273.39,459.92
Madeira Serrada Industrial,Acabamento,740,422,153.81,315.32
Telha de Zinco Industrial,Elétrica,473,43,335.29,626.5
Lâmpada LED Industrial,Estrutura,256,485,324.32,481.95
Argamassa Residencial,Iluminação,739,209,291.02,583.45
Interruptor Industrial,Estrutura,382,35,61.31,84.97
Prego Premium,Estrutura,426,18,241.1,499.46
Porta de Madeira Residencial,Elétrica,40,90,181.33,200.25
Janela de Alumínio Comum,Iluminação,377,300,248.06,463.45
Brita Industrial,Iluminação,568,211,461.32,766.48
Cimento Extra,Hidráulica,655,404,242.86,370.2
Cimento Comercial,Estrutura,117,406,11.92,21.72
Janela de Alumínio Residencial,Estrutura,593,221,222.22,445.2
Cimento Industrial,Acabamento,848,216,411.22,1008.08
Canos PVC Residencial,Hidráulica,427,222,391.13,886.41
Brita Extra,Acabamento,629,410,259.13,545.21
Fio Elétrico Comercial,Acabamento,830,97,128.64,227.76
Telha de Zinco Comum,Acabamento,407,455,235.22,387.88
Bloco de Concreto Extra,Elétrica,281,18,284.03,325.37
Lâmpada LED Comum,Elétrica,692,296,499.94,801.27
Rejunte Industrial,Acabamento,125,25,323.87,740.93
Interruptor Premium,Hidráulica,850,27,348.66,570.98
Argamassa Reforçada,Estrutura,595,63,248.27,433.53
Canos PVC Comum,Hidráulica,265,323,180.47,267.2
Madeira Serrada Premium,Iluminação,90,222,407.41,604.51
Parafuso Extra,Elétrica,789,79,249.99,296.64
Argamassa Comum,Estrutura,137,50,497.37,974.51
Rejunte Premium,Estrutura,847,457,231.27,399.47
Tijolo Extra,Iluminação,924,101,38.66,75.32
Cimento Premium,Iluminação,244,175,342.88,639.69
Brita Comercial,Acabamento,562,9,28.09,62.31
Prego Comum,Elétrica,190,236,129.0,277.53
Rejunte Extra,Elétrica,166,456,180.1,392.62
Janela de Alumínio Comercial,Hidráulica,463,422,371.04,667.48
Porta de Madeira Comum,Acabamento,580,99,249.65,398.3
Areia Refinada,Acabamento,866,498,19.18,46.16
Tinta Acrílica Comum,Acabamento,770,377,310.34,364.95
Prego Refinada,Acabamento,713,227,208.66,274.11
Argamassa Industrial,Elétrica,33,402,461.31,778.43
Interruptor Extra,Elétrica,482,63,252.28,494.35
Prego Residencial,Acabamento,409,379,355.94,395.62
Interruptor Residencial,Hidráulica,957,18,113.34,238.81
Areia Extra,Estrutura,601,331,381.68,718.4
Cimento Refinada,Estrutura,143,317,361.87,643.62
Lâmpada LED Extra,Hidráulica,430,140,452.52,766.07
Fio Elétrico Comum,Acabamento,222,24,21.74,39.73
Interruptor Comercial,Elétrica,909,227,226.51,300.47
Bloco de Concreto Comercial,Estrutura,491,88,341.18,427.22
Bloco de Concreto Residencial,Iluminação,357,91,52.11,78.45
Fio Elétrico Industrial,Iluminação,175,41,208.25,435.93
Rejunte Refinada,Hidráulica,946,372,471.36,906.71
Canos PVC Refinada,Acabamento,357,294,220.79,391.28
Telha de Zinco Reforçada,Estrutura,858,413,492.78,936.35
Areia Premium,Acabamento,407,388,33.14,62.4
Tinta Acrílica Reforçada,Estrutura,592,80,360.33,551.25
Lâmpada LED Reforçada,Hidráulica,735,401,292.6,361.78
Argamassa Comercial,Hidráulica,444,106,252.77,595.4
Canos PVC Industrial,Iluminação,586,110,485.57,941.95
Rejunte Comercial,Acabamento,230,276,69.18,143.68
Bloco de Concreto Comum,Iluminação,317,213,448.52,784.73
Cimento Residencial,Acabamento,807,230,347.16,749.54
Telha Cerâmica Reforçada,Iluminação,706,305,133.2,255.52
Brita Reforçada,Elétrica,728,120,451.33,530.46
Tijolo Comercial,Elétrica,475,133,217.5,510.28
Tomada Residencial,Elétrica,108,305,408.04,623.38
Interruptor Reforçada,Elétrica,251,207,197.47,255.34
Madeira Serrada Extra,Estrutura,167,449,426.21,521.36
Porta de Madeira Refinada,Elétrica,619,370,320.13,675.03
Porta de Madeira Industrial,Hidráulica,563,256,74.82,156.04
Prego Extra,Hidráulica,660,184,326.58,679.36
Madeira Serrada Reforçada,Estrutura,804,285,99.72,237.54
Tinta Acrílica Extra,Elétrica,929,441,208.9,331.84
Telha Cerâmica Premium,Elétrica,236,362,89.3,168.38
Janela de Alumínio Premium,Elétrica,432,179,15.9,31.28
Janela de Alumínio Industrial,Iluminação,81,420,109.88,271.54
Tijolo Reforçada,Acabamento,252,47,270.5,415.84
Fio Elétrico Reforçada,Iluminação,539,86,243.37,593.55
Tijolo Premium,Acabamento,598,384,253.24,331.3
Telha de Zinco Extra,Elétrica,54,18,127.61,276.86
Tomada Extra,Elétrica,481,45,344.15,683.5
Porta de Madeira Reforçada,Iluminação,380,450,353.61,793.38
Tijolo Industrial,Iluminação,864,385,182.19,207.73
Bloco de Concreto Refinada,Acabamento,661,55,441.18,533.56
Brita Premium,Hidráulica,698,228,323.79,387.76
Tijolo Residencial,Acabamento,743,144,357.95,690.89
Argamassa Premium,Iluminação,936,91,142.28,276.61
Bloco de Concreto Reforçada,Iluminação,101,81,5.3,12.55
Tinta Acrílica Industrial,Estrutura,31,224,433.36,760.39
Canos PVC Reforçada,Iluminação,181,78,412.1,492.57
Lâmpada LED Refinada,Estrutura,613,149,65.98,91.93
Prego Reforçada,Hidráulica,201,360,190.18,211.35
Tomada Industrial,Acabamento,86,282,332.36,727.0
Areia Comum,Acabamento,290,310,327.79,734.85
Tinta Acrílica Residencial,Estrutura,373,484,430.87,1075.93
Prego Industrial,Acabamento,188,159,74.43,124.82
Rejunte Residencial,Iluminação,247,315,217.82,245.49
Porta de Madeira Comercial,Elétrica,144,364,53.13,75.9
Rejunte Reforçada,Estrutura,886,466,197.85,380.44
Lâmpada LED Residencial,Acabamento,911,155,12.48,30.54
Parafuso Comercial,Estrutura,289,155,449.65,559.82
Cimento Comum,Estrutura,28,375,265.89,337.73
Telha de Zinco Refinada,Elétrica,604,201,425.65,886.4
Telha Cerâmica Refinada,Iluminação,749,467,34.65,70.48
Telha Cerâmica Industrial,Estrutura,380,408,117.59,170.59
Bloco de Concreto Premium,Acabamento,786,340,133.39,298.58
Bloco de Concreto Industrial,Hidráulica,121,461,196.41,251.46
Telha Cerâmica Extra,Estrutura,772,341,402.42,964.21
Areia Industrial,Estrutura,685,116,196.35,271.25
Lâmpada LED Comercial,Elétrica,879,153,106.3,129.04
Parafuso Comum,Iluminação,689,363,37.17,58.56
Tinta Acrílica Comercial,Hidráulica,230,330,44.35,60.45
Parafuso Residencial,Acabamento,929,118,381.22,700.57
Parafuso Reforçada,Hidráulica,313,198,225.18,464.23
Brita Refinada,Acabamento,712,400,364.46,651.4
Janela de Alumínio Extra,Iluminação,334,465,342.73,693.98
Fio Elétrico Residencial,Acabamento,446,262,72.0,115.98
Fio Elétrico Refinada,Elétrica,447,183,75.73,86.26
Brita Residencial,Elétrica,179,447,378.89,933.47
Canos PVC Comercial,Elétrica,384,147,362.03,813.55
Porta de Madeira Premium,Elétrica,566,165,192.13,231.09
Tomada Refinada,Hidráulica,390,74,43.32,74.89
Tinta Acrílica Refinada,Iluminação,995,235,10.99,21.86
Interruptor Comum,Acabamento,23,313,147.64,201.8
Canos PVC Extra,Acabamento,752,271,9.57,18.27
Telha Cerâmica Comum,Elétrica,678,178,118.89,219.6
Canos PVC Premium,Elétrica,509,282,212.65,295.92
Janela de Alumínio Refinada,Estrutura,655,50,65.1,84.48
Telha Cerâmica Residencial,Iluminação,400,74,56.62,122.44
Argamassa Extra,Hidráulica,558,143,448.74,696.27
Cimento Reforçada,Acabamento,574,342,294.81,425.01
Madeira Serrada Refinada,Estrutura,539,187,467.56,997.32
Madeira Serrada Comercial,Estrutura,992,122,176.18,375.35
Fio Elétrico Premium,Acabamento,501,331,340.19,505.85
Telha de Zinco Comercial,Hidráulica,559,250,106.32,246.83
Areia Reforçada,Estrutura,708,295,311.08,641.93
Tomada Comercial,Estrutura,394,322,69.14,109.52
Tijolo Refinada,Iluminação,205,129,6.03,10.24
Madeira Serrada Residencial,Hidráulica,764,251,466.11,986.94
Areia Residencial,Estrutura,309,357,279.67,390.48
Tijolo Comum,Hidráulica,824,431,463.84,814.63
Rejunte Comum,Acabamento,556,179,170.25,343.05
Parafuso Industrial,Elétrica,736,407,167.25,310.3
Tomada Comum,Estrutura,740,348,203.32,396.81
Janela de Alumínio Reforçada,Iluminação,837,494,354.49,661.02
Tinta Acrílica Premium,Acabamento,611,109,285.08,393.1
Porta de Madeira Extra,Hidráulica,317,481,463.05,775.28
Brita Comum,Acabamento,261,467,17.59,32.45
Argamassa Refinada,Estrutura,17,337,355.56,779.42
Telha de Zinco Premium,Hidráulica,777,77,168.51,339.63
Parafuso Premium,Elétrica,884,465,94.22,159.91
Telha de Zinco Residencial,Acabamento,217,1,257.65,634.89
Telha Cerâmica Comercial,Estrutura,946,320,255.01,319.0
Interruptor Refinada,Iluminação,140,275,72.82,101.19
Madeira Serrada Comum,Hidráulica,745,289,104.94,165.58
Prego Comercial,Acabamento,718,296,207.04,294.0
Areia Comercial,Acabamento,989,168,207.36,409.66
Fio Elétrico Extra,Elétrica,663,239,162.19,187.39
Parafuso Refinada,Elétrica,773,458,78.53,105.89
Tomada Premium,Iluminação,617,474,7.16,10.82
Tomada Reforçada,Iluminação,35,22,485.27,998.05
Lâmpada LED Premium,Estrutura,632,293,472.03,1098.04
Madeira Serrada Industrial,Estrutura,463,171,244.41,542.07
Telha de Zinco Industrial,Iluminação,644,322,497.55,674.14
Lâmpada LED Industrial,Iluminação,195,317,338.46,640.22
Argamassa Residencial,Hidráulica,493,395,39.08,44.63
Interruptor Industrial,Elétrica,689,285,63.27,97.1
Prego Premium,Estrutura,60,478,458.47,1021.64
Porta de Madeira Residencial,Elétrica,900,342,316.88,551.16
Janela de Alumínio Comum,Elétrica,14,192,422.38,553.28
Brita Industrial,Iluminação,598,168,449.64,770.67
Cimento Extra,Hidráulica,169,403,226.73,312.26
Cimento Comercial,Acabamento,217,117,29.02,47.9
Janela de Alumínio Residencial,Hidráulica,266,5,98.2,175.09
Cimento Industrial,Hidráulica,214,330,37.95,60.32
Canos PVC Residencial,Elétrica,776,482,98.43,237.39
Brita Extra,Hidráulica,959,131,208.21,393.01
Fio Elétrico Comercial,Estrutura,20,92,63.51,144.81
Telha de Zinco Comum,Elétrica,958,250,87.53,189.5
Bloco de Concreto Extra,Estrutura,17,9,225.68,457.14
Lâmpada LED Comum,Acabamento,418,50,173.38,311.33
Rejunte Industrial,Elétrica,945,348,236.49,260.86
Interruptor Premium,Acabamento,41,293,217.44,425.93
Argamassa Reforçada,Elétrica,993,128,324.02,517.89
Canos PVC Comum,Iluminação,549,487,468.91,593.11
Madeira Serrada Premium,Hidráulica,727,391,58.39,100.58
Parafuso Extra,Iluminação,396,248,54.13,115.28
Argamassa Comum,Acabamento,237,101,427.14,1044.93
Rejunte Premium,Hidráulica,649,336,255.67,415.14
Tijolo Extra,Elétrica,776,82,384.37,714.86
Cimento Premium,Hidráulica,484,190,111.63,255.83
Brita Comercial,Estrutura,733,416,415.29,651.01
Prego Comum,Hidráulica,760,142,462.3,600.6
Rejunte Extra,Estrutura,216,236,319.56,477.63
Janela de Alumínio Comercial,Hidráulica,327,286,57.41,135.42
Porta de Madeira Comum,Estrutura,804,276,448.17,593.0
Areia Refinada,Acabamento,766,386,397.28,620.12
Tinta Acrílica Comum,Iluminação,566,381,376.68,659.38
Prego Refinada,Elétrica,626,449,23.18,52.99
Argamassa Industrial,Hidráulica,357,290,400.49,966.3
Interruptor Extra,Iluminação,802,168,73.29,124.31
Prego Residencial,Elétrica,243,442,115.08,276.74
Interruptor Residencial,Elétrica,710,143,290.68,385.45
Areia Extra,Estrutura,53,183,136.17,179.69
Cimento Refinada,Acabamento,746,44,332.37,807.31
Lâmpada LED Extra,Acabamento,951,242,305.99,554.93
Fio Elétrico Comum,Iluminação,151,314,58.53,79.62
Interruptor Comercial,Acabamento,657,433,329.73,587.97
Bloco de Concreto Comercial,Hidráulica,185,468,462.36,1015.57
Bloco de Concreto Residencial,Acabamento,663,267,84.75,191.34
Fio Elétrico Industrial,Iluminação,458,475,300.55,694.14
Rejunte Refinada,Acabamento,601,252,174.22,330.56
Canos PVC Refinada,Hidráulica,91,395,232.51,537.96
Telha de Zinco Reforçada,Estrutura,144,288,147.07,266.79
Areia Premium,Iluminação,728,211,180.29,351.54
Tinta Acrílica Reforçada,Estrutura,865,487,19.31,41.75
Lâmpada LED Reforçada,Estrutura,186,176,490.87,832.32
Argamassa Comercial,Estrutura,392,20,314.28,378.08
Canos PVC Industrial,Elétrica,252,315,252.85,402.09
Rejunte Comercial,Elétrica,576,51,194.94,384.72
Bloco de Concreto Comum,Estrutura,150,437,271.99,372.43
Cimento Residencial,Iluminação,466,422,193.15,252.59
Telha Cerâmica Reforçada,Hidráulica,449,232,183.15,276.61
Brita Reforçada,Hidráulica,65,432,234.65,268.66
Tijolo Comercial,Acabamento,536,122,141.61,303.16
Tomada Residencial,Iluminação,706,361,94.12,137.62
Interruptor Reforçada,Elétrica,835,447,280.52,357.36
Madeira Serrada Extra,Estrutura,428,99,422.17,877.6
Porta de Madeira Refinada,Acabamento,97,213,80.65,183.89
Porta de Madeira Industrial,Hidráulica,618,409,21.2,23.91
Prego Extra,Elétrica,665,326,127.17,181.48
Madeira Serrada Reforçada,Elétrica,17,134,489.96,1187.33
Tinta Acrílica Extra,Estrutura,486,455,415.24,680.73
Telha Cerâmica Premium,Hidráulica,224,317,299.95,724.09
Janela de Alumínio Premium,Iluminação,694,217,464.98,689.98
Janela de Alumínio Industrial,Elétrica,744,87,225.41,316.77
Tijolo Reforçada,Estrutura,561,279,491.72,688.29
Fio Elétrico Reforçada,Iluminação,506,39,151.67,184.93
Tijolo Premium,Hidráulica,703,239,123.95,291.9
Telha de Zinco Extra,Elétrica,512,331,320.83,793.02
Tomada Extra,Iluminação,791,430,192.19,468.23
Porta de Madeira Reforçada,Iluminação,708,135,315.05,722.36
Tijolo Industrial,Iluminação,254,181,155.97,356.49
Bloco de Concreto Refinada,Elétrica,487,264,310.87,629.67
Brita Premium,Elétrica,318,258,141.49,319.3
Tijolo Residencial,Acabamento,240,181,30.23,42.07
Argamassa Premium,Hidráulica,392,20,456.51,750.08
Bloco de Concreto Reforçada,Estrutura,164,350,442.19,883.13
Tinta Acrílica Industrial,Iluminação,184,431,485.55,1128.75
Canos PVC Reforçada,Acabamento,857,430,359.68,728.23
Lâmpada LED Refinada,Estrutura,124,471,342.95,780.08
Prego Reforçada,Acabamento,399,195,281.71,496.8
Tomada Industrial,Elétrica,320,211,67.34,141.7
Areia Comum,Iluminação,309,446,98.67,243.91
Tinta Acrílica Residencial,Estrutura,27,15,148.29,194.98
Prego Industrial,Estrutura,793,201,445.63,1068.48
Rejunte Residencial,Estrutura,21,362,90.62,165.95
Porta de Madeira Comercial,Estrutura,413,217,461.82,923.87
Rejunte Reforçada,Estrutura,822,92,263.78,614.35
Lâmpada LED Residencial,Acabamento,713,132,359.21,601.14
Parafuso Comercial,Iluminação,241,138,59.57,100.45
Cimento Comum,Elétrica,964,156,138.17,253.96
Telha de Zinco Refinada,Elétrica,614,492,479.47,540.24
Telha Cerâmica Refinada,Elétrica,999,334,136.74,245.49
Telha Cerâmica Industrial,Elétrica,739,69,151.78,228.81
Bloco de Concreto Premium,Acabamento,287,303,102.81,246.66
Bloco de Concreto Industrial,Hidráulica,362,14,68.89,84.24
Telha Cerâmica Extra,Iluminação,312,234,120.46,209.97
Areia Industrial,Estrutura,550,211,322.95,783.62
Lâmpada LED Comercial,Hidráulica,479,289,230.41,544.1
Parafuso Comum,Elétrica,822,59,279.11,581.08
Tinta Acrílica Comercial,Hidráulica,86,251,65.57,126.23
Parafuso Residencial,Iluminação,530,445,402.05,600.27
Parafuso Reforçada,Estrutura,33,1,393.13,634.41
Brita Refinada,Estrutura,24,235,15.69,19.24
Janela de Alumínio Extra,Iluminação,685,335,194.84,428.76
Fio Elétrico Residencial,Iluminação,534,18,39.04,60.65
Fio Elétrico Refinada,Elétrica,356,481,397.09,808.04
Brita Residencial,Estrutura,181,48,369.95,592.15
Canos PVC Comercial,Hidráulica,878,77,451.48,790.12
Porta de Madeira Premium,Acabamento,336,471,122.02,229.03
Tomada Refinada,Acabamento,721,27,230.87,513.13
Tinta Acrílica Refinada,Iluminação,494,47,96.32,134.43
Interruptor Comum,Elétrica,498,95,188.76,313.02
Canos PVC Extra,Acabamento,471,164,263.51,337.85
Telha Cerâmica Comum,Estrutura,387,457,31.4,37.87
Canos PVC Premium,Iluminação,597,432,358.86,698.54
Janela de Alumínio Refinada,Hidráulica,173,364,273.93,373.84
Telha Cerâmica Residencial,Iluminação,381,175,415.33,491.63
Argamassa Extra,Hidráulica,582,72,139.53,328.72
Cimento Reforçada,Iluminação,986,471,452.14,835.57
Madeira Serrada Refinada,Iluminação,433,355,499.35,643.4
Madeira Serrada Comercial,Iluminação,766,28,460.05,540.47
Fio Elétrico Premium,Hidráulica,486,443,390.06,494.52
Telha de Zinco Comercial,Hidráulica,391,156,407.12,716.48
Areia Reforçada,Iluminação,164,313,289.0,588.36
Tomada Comercial,Acabamento,266,303,99.13,198.04
Tijolo Refinada,Elétrica,765,278,340.14,442.93
Madeira Serrada Residencial,Elétrica,683,282,357.81,710.93
Areia Residencial,Elétrica,77,478,492.77,821.35
Tijolo Comum,Hidráulica,353,490,272.94,477.82
Rejunte Comum,Hidráulica,286,6,139.33,309.59
Parafuso Industrial,Acabamento,682,304,343.42,537.62
Tomada Comum,Elétrica,400,181,489.79,639.57
